"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
106655,104127,180067,79726.1,69950.8,148384,21884.8,2.39301
112661,107855,179932,97574.8,86807.5,155215,36412.5,2.39766
114566,107143,180656,89223.1,74484.1,158872,47171.9,2.39898
120736,114289,185975,106234,88236.6,158263,46385.2,2.39955
89013.4,82836.5,172354,72516.8,64114.3,151931,25514.7,2.40692
114017,99236.1,188676,112687,86490.2,165157,120565,2.41746
120459,116380,192623,88460.2,73356.4,158499,45342.5,2.41934
104262,104184,183716,80155.4,72315.4,147513,34026.1,2.43418
91873.4,92582.9,173040,73674.1,67555.4,146215,37928.6,2.44355
117883,109285,196423,90197.5,75633.2,156204,30543.2,2.4436
108095,100099,188632,106616,92053.5,156204,30266.2,2.45581
140672,136348,202585,92125.8,78238.8,157836,25788.7,2.46255
155276,127584,213299,109003,76365,164892,40075,2.46591
119561,103502,193262,95025.8,77848.9,155707,23507,2.46638
111593,110414,186181,73502.2,66386.4,148019,32749.8,2.46988
108473,107292,176626,80238.3,70844.1,150418,18486.1,2.47127
115528,103383,189801,120000,100684,162147,31352,2.47145
119497,112137,206647,115515,90475.9,176049,16378.4,2.48888
113806,106580,181928,91048.2,80074.4,152962,37408.1,2.49175
117014,115845,187345,89318.4,82176.1,153153,49306.9,2.49959
155207,137640,216370,145016,113602,169746,37000.2,2.50127
93732.8,94788.3,168407,84927.2,77909.4,149044,33814.8,2.50267
106040,106075,183787,82316.4,68592.5,152641,33148.8,2.50434
120885,120590,200543,85127.3,71677.2,155449,25555.6,2.51454
131065,121886,198961,94446.9,81177.2,158235,10251.3,2.51542
122417,115372,193224,77233.5,63208.1,152362,41988.5,2.52584
80805.9,82421.7,161688,68080.9,63610.2,141552,34143.6,2.52917
74248.3,74045.3,157942,51260.7,48372.4,134842,15848,2.55088
112114,112022,190445,95936.7,84366.3,155358,27159.3,2.552
112440,111311,187914,85430,74310.2,152239,14346.3,2.55293
94111.4,93585.7,173235,77378.4,66836.8,158657,22746.7,2.55727
112035,105610,187177,74714.1,63297.4,151019,68558.4,2.55743
96355,96983.6,171805,80268.9,71982.2,147977,46003.9,2.55855
77652.9,77872.1,162266,50532.4,44246.1,138924,28179.9,2.55964
78197.6,71336.2,168013,67067.3,61303.9,145681,35392.6,2.56506
109003,105726,182010,71066.3,62314.8,149127,28892,2.56596
141686,110409,203260,128165,98670.1,172289,28755.4,2.58631
104242,101117,174349,103114,90418.2,158384,42362.9,2.61508
91818.1,88741.8,172029,80108.3,73116.5,146103,18425.9,2.61543
134799,118161,200089,94656.9,73239,158608,39845.9,2.6386
127022,119341,193959,108874,85876.4,159674,42430.1,2.63915
82194,85293.9,160706,56203.7,52769.6,137745,30516.9,2.64064
146949,119843,211176,113349,83064.5,168417,12810,2.64894
112809,105209,191646,83998.9,71534.2,152318,10086.9,2.64967
154707,137482,207354,138672,121144,165556,17539.6,2.6522
75243.3,73583.9,162517,81092.8,74635.1,148811,18821.2,2.65615
123349,110633,199347,81866.7,70254.9,152276,31644.2,2.66248
133003,126794,198667,112990,104908,158467,19201,2.6687
83448.7,84363.9,168638,60701,54514.3,144061,21481.1,2.66998
104265,98233.7,183904,82353.2,71623.5,153701,41059,2.67528
138963,135083,198785,95032.8,78108.4,155687,32573.1,2.67981
115003,102779,185862,119695,99702.8,165613,55079.3,2.68746
105039,98635.5,179190,101923,95451.5,152673,19198.3,2.6878
162570,128782,214582,139710,99078.5,171466,53923,2.69065
111138,102789,192717,94911.7,75142.7,156537,26903.6,2.69482
127134,122437,199935,115734,97842.7,158511,36042.2,2.69485
115172,105681,180469,95699.9,80194.5,159090,38265.2,2.69613
101572,97188.6,182190,121923,107176,158974,42113,2.69716
129263,111362,202879,121892,88173.1,169466,51781.2,2.70272
125708,110808,194313,84760.4,69737.8,152308,17029,2.70971
