"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
85550.8,83400.8,162765,79264.1,75939.5,145323,24103.5,0.598672
162764,137709,217435,159219,112323,178275,51831.2,0.601864
112792,100260,186887,93740.6,75454.9,157706,15611.8,0.606848
97143.2,93016.9,169871,62157.4,52500.4,145412,14619.3,0.607161
81527.1,81074.7,159623,62333.3,58060.4,140920,14041.9,0.608691
90946,88504.5,172813,64757.7,59361.5,144158,16893.7,0.608859
93333.4,92112.7,178906,65403.5,58262.5,142006,16415.5,0.610047
94218.6,92065.3,169691,65716.6,57459.9,145587,15317.5,0.610481
104314,98292.8,177056,96721.9,84100,152193,58293.4,0.615393
114337,111867,179857,117480,95988.5,161813,31826.1,0.615521
113170,109306,178723,88362.8,73785.2,155694,38357.7,0.615766
97136,96473.4,173458,84613.3,75217.5,151803,31053.4,0.619922
81324,86445.3,176129,68784.4,66105,158268,8726.52,0.627174
72034.5,73301.2,156122,66696,61764.7,140729,17079.9,0.630621
149769,132529,203601,109156,81911.1,167439,32698.1,0.631781
101141,99263.9,175907,95920.8,85705.7,152259,27848.8,0.64215
97753.6,97112.6,168906,82772.8,72034.4,150732,19941.3,0.643944
111498,100632,183348,114030,94945.1,159225,15708.5,0.649131
110397,105278,186584,98625.9,88721.4,153846,31244.8,0.652049
95950.3,97210.2,180340,70555.6,64383.9,147698,24803,0.652117
112283,101759,186195,131222,110548,165306,22630.2,0.658245
133582,123183,196851,114719,98657.8,158356,22833.5,0.663122
99941.8,95420,172958,96442.9,81368.7,155368,42990.7,0.664449
118213,110767,194443,87914.9,74179.7,151731,21902.9,0.670074
127996,118452,200428,102323,83761.6,158569,38472.1,0.670125
123262,122289,195828,84569.1,73534.8,148845,21291.9,0.670422
87497.3,83784.4,163481,82796.6,73636.6,149124,26623.1,0.671142
87985.8,86194.6,161805,71211.7,65371,144283,12277.1,0.67121
89249.9,90427.2,162250,72605.3,67493.2,140795,33950.7,0.671521
115124,106356,190335,129388,104083,163480,56584.3,0.674087
99845.1,90975.7,181649,94905.3,81431.2,156158,17408.7,0.682291
102982,101165,179475,67095.1,60767.8,147441,14695.8,0.684646
92857.3,93802.1,167805,67011.5,61523.6,140592,23803.9,0.686362
115178,98452.4,200217,107668,84897,163108,27116.8,0.688171
127713,114317,191539,93140.8,72458.6,158021,20303.4,0.689984
105982,105741,172981,82158,71707.6,151889,23430.2,0.690176
125775,118391,189656,85252.9,70971,155596,19449.6,0.699827
147014,124333,206802,142862,104153,172252,19599.8,0.703832
130489,123644,203498,91249.4,79114.1,168040,36455.9,0.705686
133742,118978,196752,140826,120959,162825,30509,0.7078
114661,107260,182878,107111,89055.7,159049,18681.2,0.71031
109775,104695,177083,91652.8,76207.6,155462,21637.9,0.723551
71707,72830.3,156426,63588.9,60244.2,140993,22899.3,0.726482
106915,105099,184321,82436.7,68327,151091,19771.4,0.72882
106034,93325.5,180060,81447.7,70096.6,150596,36203.9,0.738107
82908.8,83743.8,161788,83978.6,77570.3,145545,8652.41,0.738274
112945,107020,177134,96231.6,85043.4,155511,34184.9,0.743709
70816.6,71706.9,159252,54039.5,50393.4,141517,8647.64,0.751073
167729,133197,218145,156630,114075,175760,86967.9,0.752551
106578,106414,176132,75989.4,70190.4,144633,15439.9,0.757105
72857,71819.6,163092,69538.2,59737.3,147754,30458.4,0.76107
118693,106674,191770,91815.4,75685.8,155500,31973.5,0.776375
95818.3,100213,177102,61146.1,57548.7,136122,20718,0.77992
154528,130286,202985,144574,117434,169031,36950.2,0.782165
107366,104424,185935,97090.1,84550.1,152968,19742.5,0.793505
132768,121086,193166,130803,109593,162179,65064.5,0.793848
127975,113686,199651,104843,83769.5,163746,32556.1,0.797154
83835.9,87126.3,160507,63491,58630.3,141673,9967.32,0.803197
98588,92670.5,171929,75486.1,67789.1,144904,6135.61,0.803711
88030.4,89426.2,162809,78803.1,73705.5,145346,22958.9,0.811248
125256,115342,195965,110363,91774.3,159771,39507.1,0.811316
115786,112546,182035,96511.6,86974.2,152344,13230.1,0.818798
130797,116681,200093,105309,86371.5,157948,23134.9,0.819587
81775.5,80987.2,158562,129734,116149,156038,60892.8,0.827522
143554,128317,206742,142397,113590,165725,16044.7,0.834797
102471,92871.3,182978,108270,98963.6,153244,26518.4,0.835639
123717,115189,200746,136517,120722,162531,38654,0.842021
95561.9,95828.6,169903,84359.1,77283.9,147842,20738.1,0.844097
94350.1,97358.4,170253,76827.3,71666.7,146045,24423.1,0.844401
85516.1,87126,165576,55737.8,50163,141090,19469.6,0.846294
107234,102791,179688,91879.7,76927.5,153008,19385.9,0.848508
84868.2,83433.1,161192,72545.1,66833.9,146320,12460.2,0.854539
126435,115508,193757,146109,124882,165606,29313.9,0.856486
124097,113955,197673,121585,98057.8,161523,30131.9,0.861986
90060.2,88897.9,168357,62870.2,58683.2,142281,13761.7,0.873467
92267.4,86339.1,177320,91355.3,78548,153248,33205.7,0.883274
131793,111818,203632,122519,96870.6,166260,24656.6,0.890923
77955.6,79368.2,160303,58871.4,53553.1,140758,14700,0.891658
88176.9,81815.7,172372,101863,87847.5,157994,15603.4,0.899754
77177.9,76075.6,156602,70704.4,66213.8,143713,22139.2,0.901526
117490,109958,190338,101953,88713.9,154931,35357.8,0.910919
109640,100915,181217,104778,85675,161795,9952.26,0.914139
102811,85597.1,180770,119625,91386.8,166579,22606.4,0.918603
120290,115482,188916,100865,84695.3,156691,35625,0.919761
113256,100342,186255,86688.7,71932.1,155793,41283,0.921829
106711,109350,170050,85614.8,77134.3,151053,26148.5,0.923273
97022,94663.5,172425,101898,91183.5,152574,17066.9,0.927923
141229,116617,203726,122261,99111.9,165734,29130.5,0.928574
110998,109981,185696,114140,99707.9,157463,36147.8,0.93861
102176,89091.1,182081,85116.1,71228,151860,11650.6,0.940152
115265,110226,189416,105194,85318.2,160126,19065.6,0.944901
87022.7,87970.9,165681,73905.3,65863.5,148288,31033.4,0.947041
117747,102623,184097,126941,103115,166383,30623.7,0.947144
124147,117512,183106,114272,95380.7,160285,21171,0.955129
124059,111665,197462,110204,91234.3,162775,12533.9,0.957692
98771.3,96818.5,168548,93739,82103.3,151625,68823,0.965345
123843,118274,189280,101216,87965.4,155626,27203.4,0.968176
128960,114586,197036,139463,106001,172804,23819.3,0.968211
76561.7,77314,163658,63893.3,62594.7,141209,4561.83,0.969643
128298,115912,200941,129177,102690,166070,14199,0.976609
90444.4,89638.9,169838,85672,76309.9,150559,4908.94,0.976981
105602,101912,173409,99767.9,90063.7,152776,32556.7,0.981054
91929.4,92608.1,168863,91931.9,80816.8,152030,11157,0.990318
108656,104957,185789,82455.4,71649.1,158039,52755.8,0.991704
116774,111647,189140,89475.1,75041.4,154766,32388,0.992454
114236,100296,182545,113076,95653,161415,18418.8,0.997225
86113.6,86308,162877,75024.5,65678.4,149524,37834.1,0.998557
79936.6,73094.2,164937,59338.8,51151.7,144659,12466.1,0.998844
79539.6,81189.9,158927,83150.6,74683.6,149218,18119,0.999734
92219.5,90454.5,175986,80252.2,69095.6,150200,34757.5,1.0044
130515,112293,192903,126280,98734.1,168845,44812.9,1.00519
97527.6,93389.2,167905,75928.9,60292.6,155218,11626.1,1.00768
100986,100378,176180,67485.9,58732.4,147398,17086.5,1.00864
113192,104315,182769,116913,102576,160211,36580.8,1.01055
118047,112355,183818,100882,85900.5,154581,21714.8,1.015
86044.4,82972.6,172454,79510.7,71740.9,148535,14229.9,1.025
109712,103923,185975,69197.5,59280.8,148994,12876.2,1.029
90828.4,92229.2,165602,90688.5,80669.7,148576,28264.5,1.03009
76467.4,79236.6,159414,59510.7,60092.4,138016,21200.8,1.04492
109961,102024,179523,126392,103876,162946,24812.5,1.04655
82535.1,74592.1,170395,84725,78763.7,152086,23175.8,1.05679
99064.1,97404.2,172326,105145,94321.8,155289,16140.9,1.06086
73868.2,77394,156357,59456.8,56106.7,140325,24089.2,1.06276
95827.6,82380.6,179565,98153.7,80842.5,156213,40762.6,1.0632
102441,93088.8,189532,119484,115079,155087,25807.5,1.06546
103249,96822.3,180016,79883.8,71241.9,148504,22413.1,1.06615
97161.9,91111.9,172021,81974.2,75453.8,148314,4970.31,1.07804
80773.9,84193.3,162935,55926.6,54221,137710,21500.1,1.08328
127447,118714,197958,111071,96652,158736,21013.8,1.09053
102678,100034,179339,100862,89652.7,151624,22905.4,1.09074
98046.8,97905.3,169487,76636.4,69151.9,144785,4427.1,1.09186
104691,98779.5,175013,77545.3,65791.3,147837,10212.1,1.09397
142302,125401,207626,106652,89447.3,159566,31547.8,1.09523
94127.6,95108.8,165408,89771,82916.7,146026,20459.9,1.0985
108305,101294,179518,73992.2,66222,140843,10970.8,1.10292
116436,107591,186402,109994,91979.8,159353,17043,1.10712
119965,113735,186719,109557,89112.7,158827,17940.3,1.11142
104128,102410,183064,88823.2,80075.2,153911,20195.2,1.11401
108373,92066.5,190726,105451,88420.3,158239,27118.9,1.11916
98134.1,94635.5,173148,92507.3,81935.3,154478,32838.1,1.1192
96410.8,88271.6,175001,99507.5,77777.3,162143,11792.1,1.1199
106191,103318,176899,69121.7,60622.6,138658,29763.1,1.12253
119068,107395,189700,87212,68169.8,158190,12363.8,1.12809
83812.8,85423,163445,71016.6,66214.3,145310,7938.18,1.13598
115372,110391,190260,130090,111174,162305,20827.5,1.14464
106412,94351.6,179814,71592.6,58536.6,145074,19458.9,1.14609
112008,112304,187326,87911.8,79230.1,152303,14549.6,1.14755
94360.6,95587,175142,67523.4,61758.6,142445,21652.5,1.1483
96838.9,89462.5,172509,73120.3,60491.5,150502,26065.1,1.15213
86467.4,87703.6,164927,68416.3,62130.7,141983,31459.4,1.15322
122601,119422,189782,85613.3,68851.1,155543,23372.6,1.15331
97618.5,97040.7,174842,73973.2,67133.3,148450,41221,1.15993
116572,93522,192630,133110,101727,167471,38245.6,1.16163
96521.5,92685.9,174740,115123,104582,159736,17837.3,1.1646
98441.7,96720.1,171532,108236,93371.1,157510,46175,1.16553
117835,107023,193802,85682.2,68334.2,151068,21356.8,1.17019
80997.1,82907.2,161581,61408.6,57658.8,138626,23336,1.17246
69744.8,73980.1,154458,71093.8,69319.2,145080,21534.3,1.17658
125493,112361,185496,123469,91975.1,167406,48371.4,1.18125
99768.6,98060.6,173037,83138.2,70414.6,153169,18203.2,1.19048
116899,112582,187402,88189.2,73424,150727,26043.1,1.19863
105614,102459,184396,90179.2,80355.8,149342,32890.1,1.20575
126743,118063,198248,130736,117172,158832,43145,1.20854
108336,104658,188561,71957.9,61742.8,148091,20099.9,1.2165
128620,113955,204475,125609,103415,165992,21099.3,1.21757
