"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
107273,109231,192357,79285.6,71497.3,152218,1137.74,1.36878
134349,125041,200649,120543,98042.7,164590,2421.06,1.37304
107371,110476,188839,94021.4,84656.8,156387,16493.1,1.37752
109759,105546,184628,108777,93099.9,160265,6713.08,1.37834
78517,80991.9,163621,91452.8,80358.5,153108,3914.18,1.38493
93589.3,95400.7,171578,70292.6,63994,150622,14945.7,1.39259
164610,130616,220049,135586,101017,172970,7416.41,1.39289
115019,114060,193344,98064.1,89508.9,151118,5538.02,1.39689
134339,126413,216340,102335,88823,162215,13787.2,1.39821
94708.8,100030,189271,71591.3,68201.6,147561,1797.58,1.40218
126833,121777,199442,115314,99149.6,164790,7577.53,1.41168
103868,107125,183551,86412.5,72710.8,156302,14303.6,1.42113
121225,115733,200872,109610,81780.6,167766,13159,1.42264
105527,100758,186045,103731,89981,159561,23145.2,1.43943
96271.8,103102,186204,71638.1,72959.3,141600,2943.06,1.45479
128468,111146,207824,127927,111499,165550,16926,1.46172
111014,102764,189976,99305.3,84261.4,163659,27403.8,1.46494
105697,99747.5,195849,94507.3,79951.6,152835,8669.03,1.4661
146311,131369,210794,148692,116077,170535,15846,1.46638
112672,112077,193998,93805.7,80978.6,155028,5211.54,1.46864
122186,116776,200959,140695,118926,165690,4453.81,1.46953
105153,108459,192592,79575.2,73442.7,149113,1116.33,1.47088
122782,102448,196335,124113,91038.4,172605,5001.1,1.47231
100957,107094,180405,94394.7,86653.4,155490,5541.31,1.47464
73397,83296,165636,73213.8,73278.7,145404,2771.91,1.47576
104794,104092,181954,114404,95429.8,166634,4845.19,1.47786
110338,109921,189813,90984.9,82025.3,154438,2096.95,1.47902
89554.6,89236.4,182846,78388.1,75174.4,150956,10720.9,1.48581
145249,136728,208213,118677,95398.1,169154,24931.1,1.49802
131053,129316,200409,109147,96154.3,159251,2200.21,1.49985
82157.1,92162.8,169954,77770.5,77541.9,146542,834.455,1.50463
75884.3,75195.2,170012,90637.4,89665.2,151728,471.898,1.5077
122053,122276,200938,117481,91685.2,167504,16494.8,1.51318
97990.3,104556,181491,87071.2,81868.9,153374,480.187,1.51338
105416,110561,193976,91100.4,87140.1,152010,6569.29,1.52318
88402.9,93680.6,173203,70514.8,65273.3,147455,6804.18,1.52382
102339,104480,194286,103096,85633.1,160469,47085.4,1.53499
101748,92117.5,181762,122930,92935.5,169846,5916.53,1.53639
109395,101829,199235,87678.8,75451.7,158542,3523.93,1.54044
112973,109513,192738,86685.5,75472.5,157221,6815.89,1.54437
115107,100452,198878,111661,83897.3,162293,27467.5,1.54906
78089.4,73307.5,172045,131531,121371,159198,20592.2,1.55224
155047,132320,215924,173472,122985,181793,27823.6,1.55604
108221,110751,189256,126083,110008,165881,1539.12,1.55785
115550,113538,193318,123250,104808,163155,4231.09,1.55922
136740,126266,205970,135893,108404,169804,15924.4,1.56202
88386.7,96005.2,182373,81612.3,74558.6,150577,3004.13,1.56294
131429,125145,207950,165566,137778,175099,15511.3,1.56676
93186.7,97445,175626,102941,89186.6,159200,5610.75,1.56773
102257,104723,194083,97404.6,89424.3,158853,77573.6,1.56961
125786,109219,206021,118417,95482.7,166227,28496.5,1.56975
79381.8,82752.8,162481,87846.6,83635.2,152781,3419.38,1.56988
87795.7,92800.2,172022,61055.7,58339,144155,2022.43,1.57262
62101.2,69914.8,158808,87461.3,93364.8,144522,593.528,1.58278
112929,119676,193633,109973,97525.4,159646,17308.1,1.59082
