"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","Time"
105999,104465,186648,83337.6,73718.6,151058,60459.9,2.25127
120634,121595,192012,65857.7,65001.7,144783,57237.5,2.25353
80546.9,87349.3,172577,52351.8,56036.3,134824,23696.4,2.25401
101772,107376,183054,61511.6,63650.5,139653,34732.8,2.2559
91176.6,98684.6,171661,56784.1,63546.8,134993,30709.1,2.25719
82479,83365.1,163316,76560.1,80980.9,145155,24443.5,2.25775
77204.3,84722.4,155525,68316.7,72212.6,143769,20790.1,2.25987
127075,121769,198661,99926.5,94071.3,152744,78428.8,2.26001
80028.1,88652.1,160474,45759.9,51467.1,126521,28207.4,2.27041
84435.7,85557.7,174961,43663.7,45206.1,134460,27406.3,2.27473
123996,115387,198787,91285.3,89006.9,151829,52535.6,2.27773
107200,106101,181961,89524.8,90157.6,150358,124783,2.27952
92739.6,95068,176725,54641.9,59022.8,134191,39446,2.28754
102068,102476,189461,68376.8,70964.3,144092,34429.5,2.29623
94382.2,90109.6,172180,120694,109023,158452,115871,2.2975
99922.2,103189,177009,50677.4,52370.9,131415,48742.1,2.29785
120024,118944,193103,59624.2,60158.9,139247,80780.3,2.30054
84682,92562,171285,48958.9,53451,131334,32692.5,2.30261
100710,107481,184034,62292,67338.9,138055,34162.3,2.30919
108980,111542,186508,94014.4,94552.4,153841,62564.8,2.31152
67759,73279.6,158243,45160.4,50318.5,134656,15407.6,2.31213
123193,124956,191844,63017.3,63347.3,137634,74462.3,2.3185
125135,123854,192958,84231.6,81247.9,151139,98802.5,2.31854
93417.9,96341.1,175492,63603.6,62016.9,148523,45391.4,2.31902
128622,124265,195990,100262,99714,152871,95804.8,2.32275
101873,105813,174828,63872.3,64116.7,143980,61908.4,2.33294
121603,121370,197114,87899.9,87280.4,150342,64296,2.33577
152024,141068,208402,82178.8,83111.8,148411,111406,2.34263
80023.5,82760.6,167600,64615.2,67201.9,144414,10266.5,2.34326
109195,112132,187210,92276.2,88412.1,150765,53113.5,2.34335
82339.3,86506,164472,62339.4,60398.5,142018,26696.5,2.34602
87315.2,93896.8,165051,57572.1,64051.2,134824,82014.1,2.3469
76608.5,78806.1,159385,68438.4,69593.7,145072,7840.27,2.35232
103050,106444,184418,62915.3,66744.6,140813,51376.8,2.353
105194,106260,175489,113749,118133,152211,63418.2,2.35321
110196,110740,189507,78719.4,79695.4,147516,34424,2.35355
107929,110008,186071,68113.7,72018.1,141564,37580.6,2.36341
139478,129559,201144,97904.4,97344.1,158704,131566,2.37336
101290,102757,183129,99528.7,98556.2,154381,81253,2.37356
116140,118489,186741,83496,88065.5,145707,65646.3,2.38441
113017,117513,189217,72999.4,75318.5,143965,45556.5,2.38575
115565,113866,185655,90809.6,88056.1,152118,70588.4,2.39247
114986,107990,188665,83185.6,82170.6,149184,64303.6,2.41931
117533,118604,194156,77573.3,80515.8,141413,71101.1,2.42493
103141,105383,180156,74745.3,78363.8,144145,47881.8,2.42561
106716,112267,185893,60693.8,64029.1,140594,34331.4,2.44996
86851.2,92810,175275,46165.5,49881.9,134946,28279.8,2.45039
100936,103251,182127,79673.5,80290.9,148804,37043.2,2.4536
85472.9,88730.8,172201,100737,109110,148315,37628.1,2.47146
99689.7,92916.5,180494,62539,62363.2,145550,38236.8,2.4878
85984.1,92529.2,162273,79142.9,79679.4,148344,34614.5,2.48865
137595,137366,196192,83371.8,80308.6,148601,66052.2,2.49457
136380,131092,203917,79966.2,74023.6,151125,47280.2,2.49779
74520.7,81584.6,157727,68251.2,75533.7,140542,27415.4,2.50744
106292,104671,182897,105428,105014,154322,121414,2.51546
110403,110488,192760,76121.4,76956.5,148145,45755.1,2.51995
141808,129854,201372,98938.6,89140.3,155865,79848.1,2.55053
113801,111334,193807,76298.6,78680,145342,47233.1,2.55903
66368.3,72615.9,151872,53438.4,59064.6,137325,22961.7,2.56739
104370,101480,187069,67991.5,69487.8,142598,62743.2,2.57043
111322,113020,189263,74188.7,72776.3,143749,58587.4,2.58412
114210,113496,188709,97607.5,97573.2,154920,57999.5,2.59428
122416,118996,192098,101589,109582,151726,64811.5,2.59809
135633,127119,196994,107356,103371,154904,77082.3,2.60318
89446.3,84186.5,172011,108030,114410,153654,49047,2.60881
103838,107986,186678,82790.2,87003.7,147986,57707.4,2.60955
98360.1,101444,176563,87176.6,86717.9,152132,40522.3,2.6138
100388,102397,182563,68589.1,67036.5,145134,41840.6,2.61906
92560.4,99382.2,178839,51830.7,55854.7,133796,29415.8,2.62825
109237,116816,185603,82398,84012.6,148454,43936.7,2.64247
123601,125416,194228,81133.4,85201.6,141285,65970.7,2.64419
70990.4,76860.8,152689,39464.5,43990.5,124259,21471.6,2.64539
84023.8,90600.8,162807,68311.6,73144.2,143524,26302.3,2.64884
85896.2,89338.6,171955,95834.4,96396.2,150118,59528.7,2.67633
76420.1,84338.6,159986,44271.9,50410.8,125258,50132.8,2.70606
109199,114240,182167,84087.3,85258.5,148521,38815,2.70781
73070.5,81393,159720,43298.7,47964.9,131083,30941.9,2.71686
124313,122719,189172,105223,100860,157739,74199.3,2.71856
97876.4,101919,181513,69825,71248.9,146125,45006.6,2.73652
100625,98683.5,183967,81007.8,82948.9,148569,61046.2,2.73679
118648,113452,192364,80755.7,75887.1,148991,78128.6,2.77896
114311,114641,192147,97254.7,94015.3,154959,57663,2.79914
100647,104193,186327,61424.5,65272.8,138615,50930.3,2.81482
