"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","SELE","Time"
79659.9,89184.8,166245,81932,76158.7,146451,32.5548,1.13618
147302,126522,212705,104138,77854.6,168969,82.1181,1.14919
105425,97682.5,196061,76618.4,65948.6,148019,14.0911,1.15956
86458.7,82930.9,182661,94848.5,77220.8,156154,48.3879,1.16447
117400,110260,199653,131614,110744,168877,45.1105,1.17399
132125,124268,203214,134954,118313,167660,50.8575,1.17609
104714,105034,189954,82816.1,79774.9,150459,3.06303,1.17766
112014,103944,199648,83190.1,67789.4,155877,-3.29067,1.1931
125989,122755,199365,158155,125555,174598,46.9398,1.20503
123359,115891,203166,121256,103039,162376,9.06539,1.20691
98290.6,96978.8,186849,81991.1,69671.2,153501,11.5948,1.22255
113222,119841,186935,73493.9,71465.2,146384,6.63799,1.22272
107802,103293,193515,93340,78738.1,159292,9.29073,1.22977
129456,128734,200157,125631,107462,165227,50.809,1.24741
143099,126743,214475,125970,105855,164540,29.7387,1.24953
147299,132230,213953,161500,115952,178895,29.8324,1.25914
122154,102493,201586,128220,96874.9,170622,51.2944,1.26257
110749,118652,185860,98392.4,90351.8,155551,104.572,1.26812
166085,124551,220150,154447,102631,179359,130.846,1.27219
113411,110109,185467,97172,84070.5,159266,129.86,1.27243
118076,116949,198691,100540,84228.1,159921,48.5812,1.28337
81694.7,85902.3,172886,92413.6,84745.6,151953,8.84014,1.30752
117281,117518,193751,112811,102934,155944,37.5639,1.31334
145183,144040,208151,132735,109049,168098,41.373,1.31581
89285.6,88288,173508,102569,86350.4,159150,9.15551,1.3376
159217,135320,218315,110874,82699.1,168605,-4.49863,1.33792
98087.1,105019,179587,81654.6,80233.5,148651,2.17325,1.34054
112889,99339.5,200419,132128,105937,168204,46.9398,1.34748
105032,90658.3,203196,116674,94310.7,168820,52.8151,1.35004
125479,120915,202669,117869,93014.4,165122,27.4493,1.36829
145636,122425,220559,143253,105274,175388,36.3312,1.37943
117310,123383,193543,127909,110868,162504,68.4289,1.38449
97682.2,101452,186340,70200.9,70620.1,141591,37.5639,1.38596
96410.6,94461.8,178842,77851.1,65872,157888,33.5437,1.38732
78082.2,84269,166872,102670,97300.4,152531,9.29073,1.38763
94931.6,89330.2,178663,75828.4,66805.4,152142,29.2239,1.39783
135934,123283,219359,125718,102101,168095,64.8143,1.40061
115624,108276,201524,96515,86565.1,154304,9.87707,1.40647
95337.6,105892,176970,81854.4,79666.3,148653,-2.33262,1.4129
109494,105565,193325,118090,98898.7,161043,21.5128,1.41614
140692,111400,213984,136752,101110,174916,50.4695,1.41917
104436,107585,192566,70381.4,65091.2,148028,22.4361,1.42531
162771,140555,216271,133723,103130,171553,22.9447,1.43904
152922,143686,211001,113131,94174.7,160302,26.7037,1.44287
116778,104592,193677,134950,107963,168175,81.5107,1.45064
82093,84673.2,169692,93614.3,89515.7,153272,121.32,1.46363
175554,146034,227037,105953,73860.2,171517,51.9745,1.46797
135927,133234,207930,115173,88155.4,166270,27.9158,1.47281
95050.3,98788.6,173029,92428.8,82837.1,154745,2.17325,1.4797
158217,126365,218623,121960,97227.3,168931,40.8,1.48948
119322,98701.9,195994,115939,82444.8,169841,15.6402,1.49046
116477,120052,195882,106209,94580.9,158993,130.289,1.498
104411,106821,192200,98351.3,85815.2,153645,0.619957,1.51079
138525,118502,211662,130925,103292,168469,18.9356,1.53464
78513,89732.9,175074,80729,80598.5,148469,31.4736,1.53806
99141.9,91316.8,194109,90554.3,81963.5,156604,40.037,1.56703
96307.8,99292.6,179925,79950.6,72869.1,151071,4.84735,1.56757
113347,106097,199705,89788.2,77204.6,158637,1.28506,1.5696
94352.4,99851.2,175262,118718,110725,158034,24.9835,1.57768
114859,100409,202581,115886,93910.4,158271,38.2287,1.57898
103087,114665,188934,93970.8,86434.7,150941,6.18974,1.57912
95652.1,85603.4,187090,84962,69419.6,157800,10.9161,1.58757
124141,124905,195741,113071,94339,158590,41.373,1.59117
135917,120900,207215,136119,102689,170296,76.6914,1.59572
131844,114111,206962,101086,80333.3,163443,16.2794,1.60667
95079.1,96163.4,182434,70850.7,65877.8,151466,-2.54089,1.62582
147011,136135,211106,130780,109929,165998,75.301,1.6269
115094,104730,193599,131789,111827,168075,34.1567,1.62836
138364,122385,206728,142846,116142,175827,41.6596,1.63381
83576.6,77788.3,174348,93635.6,78586.6,159696,36.5207,1.64034
92274.1,94499.1,169620,96729.7,87853.7,156168,10.5093,1.65562
82377.1,85113,167929,90089,88907.5,151279,14.774,1.65594
104692,89317.4,186802,153256,112773,176519,161.159,1.6587
131031,118085,209609,120844,90739.3,169698,37.8487,1.65997
123411,125436,198912,114250,104085,157630,45.399,1.66059
77366,86392.6,159757,63461.9,61862.1,144041,29.9729,1.66217
95351.7,103461,183705,70362.3,66521,145628,14.0911,1.67613
109326,111010,192825,76153.9,67808.9,151666,108.798,1.68008
126479,113614,199995,136662,110997,168749,19.9466,1.68405
140671,133929,216712,111740,90809.3,169822,15.9597,1.6916
142200,136137,213748,121620,94422.1,165718,23.5462,1.69794
99241.5,99752.3,184827,122634,107223,161495,36.3312,1.71075
131324,127530,199933,149974,131634,169417,49.2584,1.71549
130430,112193,206595,176141,129906,179268,155.456,1.71907
96148.7,98142.8,179211,75403.9,74486.1,144556,21.6512,1.73033
134245,114530,210665,139558,116202,169774,114.311,1.73426
154786,135649,216079,109322,82986.4,164341,34.7232,1.74092
123761,120996,203457,110971,99039.9,157981,48.4846,1.74748
154522,134175,220984,143429,117600,170237,33.0255,1.75221
98974.6,97134.4,187038,105598,91284.4,158301,16.5079,1.75522
94082,81453.5,184351,149795,127980,170098,15.3209,1.75819
89121.3,94296.2,173376,95243.4,92301.1,151733,25.6337,1.76383
69973.2,76642.3,158537,69601,69461,142009,-3.6239,1.76454
122489,127694,198402,88689.1,79005.9,152966,10.3737,1.76735
117869,120879,197288,83128.7,76098.6,148313,5.87619,1.7762
93714.6,98526.6,187427,64254.3,62211.3,148847,6.59315,1.78831
105569,112082,186250,73184.2,69838.3,148837,8.70505,1.78921
108123,102686,194069,137517,115708,170325,24.3339,1.79713
71399.6,79256,161572,92038.5,92131.9,149098,15.0018,1.79717
74940.8,84254.4,159090,69472.9,71519.9,144729,3.55309,1.79899
148813,114056,224587,134381,105013,175529,50.9546,1.80126
141282,128658,217826,113179,81263.1,172155,45.6395,1.80943
81364,83459,169944,63023.3,58396.9,144727,27.8224,1.80971
84740.7,76087.6,175794,123654,94643.7,169632,19.4869,1.81749
88227.1,85606.7,175952,92202.5,77566.1,155098,1.32943,1.81843
143150,127944,207688,117876,92895,165220,72.5623,1.83445
107547,111763,181606,80458.9,76000.1,149589,329.637,1.83547
114868,97268.3,199134,114720,92315.4,169023,50.9795,1.85279
134865,116800,211607,119620,91965.1,165810,30.4414,1.85329
164660,148137,215669,150504,121261,172600,90.093,1.85342
136473,133161,202176,100703,87029.6,157981,44.2939,1.86023
127740,118675,205999,100275,90025.3,152165,43.3826,1.87733
74168.5,73747.5,171926,80827,87257.3,150916,138.211,1.87804
137886,119833,205359,124587,93103.3,170014,50.9546,1.87932
131950,115804,213157,131100,105626,169023,27.4027,1.88388
92430.1,93783,172284,89025.1,81664.3,152878,0.66427,1.90475
90059.6,87404.7,178998,71271.2,62087.5,151176,34.676,1.93158
91006.3,92193.5,176045,121669,104710,162491,10.69,1.93425
127938,125744,200515,111688,99255.6,161854,26.9832,1.9534
95659,97988.9,183364,108857,98555.3,158023,34.5343,1.95431
103594,105853,189735,104364,93915.6,153198,-4.54029,1.9909
102053,110499,189986,63380.1,62028,139230,15.0474,1.99162
175471,144223,222535,138581,95011.8,177307,51.0669,1.99397
146529,123256,217231,134215,97893,174983,1.68455,2.00078
134951,139828,198915,101983,89882.8,158280,24.8906,2.00137
97162.9,99795.5,179127,82519.5,72731.2,150260,5.5181,2.0082
162426,144175,213773,143921,106925,175506,91.9111,2.03057
123999,126635,201138,135670,117837,162551,78.3419,2.03564
103958,102832,192262,83591.7,74422.8,155361,32.0375,2.04212
99319.2,112605,183875,86130.3,84198.6,149503,-1.41624,2.04379
56774.2,64672.4,148040,58173.5,64908.6,136267,5.74188,2.04584
61520.2,67529.5,156628,44164.1,47253.8,134776,158.181,2.04919
96684.6,100629,176068,93852.8,88321.4,152990,24.4731,2.05171
99751.3,98624.9,192155,84765.9,76572.1,150687,15.1385,2.05471
134345,122234,204067,142250,115176,169855,32.696,2.05692
104103,97668.3,194308,91150.5,72899.7,159862,16.3251,2.06098
107680,100208,196135,99026.5,86206.3,162972,45.8319,2.07947
114467,100969,194506,106289,87411.1,164927,41.3252,2.09063
114191,114130,189948,102419,85443.6,160000,11.0518,2.09492
112400,116574,191742,102474,94177.3,155300,13.5909,2.09797
88802.8,87027,183172,78005.1,70548.6,145524,5.96576,2.11789
107980,112515,196216,72793.5,65988.9,147476,30.7697,2.11807
89776.3,92600.9,173555,89017,80774.1,154854,46.8916,2.11892
115338,105661,199095,86921.5,70194.9,159634,15.9141,2.1214
77325,81994.2,168999,60570.5,61541.5,140321,16.2337,2.13582
153941,133234,223206,128002,101855,170291,76.4307,2.14994
86836.6,88852.5,179565,98287.6,95225.2,149379,1.06326,2.15201
157980,142465,225013,118356,90469.1,170242,24.4731,2.15553
116965,107752,199755,145581,113764,170398,298.241,2.17081
162852,142492,216895,144098,103727,172705,56.615,2.18293
120193,109676,199950,131416,101581,172132,50.105,2.18755
133299,133338,196646,76579.5,71926.1,149611,13.8182,2.19052
134842,131516,200797,97816,85200.1,158122,28.0091,2.20004
187803,150101,223259,136587,89930,179321,97.1013,2.2063
117877,118897,196094,106906,98759.9,156519,22.4823,2.21329
99965.3,87000.1,186119,108084,80763,163796,28.4293,2.21581
99130.8,94595.2,186833,148521,117665,181206,9.7417,2.23775
90684.2,98444,181847,62979.7,63309,136178,11.8213,2.23845
120240,112968,199168,121887,97984.5,170136,70.9529,2.24272
129368,121011,203646,98566.4,78603.5,166193,9.69659,2.24314
80117.8,82205.4,162762,70136.3,66806.2,145199,26.7969,2.25131
116870,116738,193910,110477,92885.2,162584,10.0125,2.25697
100962,101728,192522,85569.6,80135,151320,12.6827,2.26519
119738,115464,203064,98658.3,86847.6,159535,27.8691,2.266
111806,110523,201720,92566.5,81548,155420,12.955,2.26638
103579,110250,191911,68420.3,69733.9,142208,20.3608,2.28424
68032.9,74890.3,163072,86781.8,84241.5,151566,15.093,2.30361
91862.2,95674.2,174197,88627.2,80213.9,153082,46.1689,2.3049
116540,107752,199900,84382.3,71489.9,158286,20.9595,2.33752
74545.3,81052.6,165457,52615.1,52626.9,134349,13.1366,2.3455
110915,116029,186703,113002,95063,162083,23.4074,2.36793
85112.7,88637.9,168451,68450.9,68418.7,144853,-6.2481,2.37241
175931,141929,227383,169110,119233,179373,57.2698,2.37994
145722,134824,210003,158753,126872,174485,149.318,2.39104
114458,110248,196121,106813,87748.3,161805,48.4846,2.39483
108631,103584,193478,100870,87309.9,158338,13.0458,2.40696
74432.5,84815.4,165450,67267.5,67331.9,142772,1.68455,2.43301
132545,126404,207873,93061.2,79902,155906,1.64015,2.43639
115671,116415,193596,105016,87287.1,162122,38.0386,2.43755
78563.6,80560.9,168839,72260.5,67607,142544,27.8691,2.44217
107486,110017,192078,86678.9,75410.5,156202,81.771,2.45305
126506,110875,203967,150916,120125,175719,75.5617,2.46443
114825,104930,203145,88529.2,71913,157869,5.83142,2.46597
124343,125314,196749,89152,81749.7,151012,10.0125,2.47106
120608,116447,193487,114411,97152.6,165418,66.6002,2.47488
77322.9,81718.9,165669,78020.2,77575.5,144985,49.452,2.48198
108488,107705,196219,77525,65377.9,156774,38.7516,2.48423
90949.1,89287.2,175691,55783.6,50488.2,135521,12.2745,2.48998
106159,102917,188978,126501,108265,167624,109.358,2.50569
93411.1,101219,178905,80546.1,77913.6,147542,36.4733,2.51396
125499,130654,196802,102282,91784,158341,37.5639,2.52405
146772,117715,216418,142483,108557,175608,50.518,2.52826
135151,120629,201709,124804,104172,171930,24.4731,2.53111
121664,110995,203204,126335,98878.4,172219,5.96576,2.53257
112224,115442,186614,100711,89248.4,159770,19.7167,2.53473
130475,120326,206785,106373,77461.8,168981,34.7232,2.54086
124960,114400,207235,101168,77726.3,165007,22.8059,2.54836
105438,104904,196866,95416.1,90150.6,152109,0.841559,2.55559
135576,124919,210168,108677,79911.8,170123,51.198,2.56025
131629,115899,208130,112620,86424.7,168374,12.0478,2.57729
86543.8,91400.6,167436,67871.6,63983.4,145624,-5.99818,2.59037
143808,142749,210401,114051,89336.3,166135,38.6089,2.59124
113967,111745,195345,112817,101004,158776,46.3615,2.59193
100263,98872.8,180048,105780,90948.4,161841,39.0845,2.60164
124809,121680,196599,97401.5,86228.5,160094,23.4537,2.60616
96843.6,92721.9,184018,82162.2,72212.7,152063,49.6678,2.6139
91700.6,87198.8,181864,86273.7,75699.5,150718,3.90979,2.6167
74125.8,84655.6,169047,70691.9,70652.1,143992,0.354166,2.64688
87100.4,96001.4,171632,81904.4,69160,155801,-2.87413,2.65945
125700,118242,197079,109589,92302.2,162761,20.3608,2.66072
99244.8,99976.3,181677,92555.8,77394.8,159491,42.3291,2.68809
85566.6,86086.1,172575,72321.8,63637.3,151319,-36.6972,2.69059
95810.4,99642.2,193545,67676,64630.8,145235,9.65148,2.6987
120996,114692,204103,120183,93007.6,168833,15.9141,2.70198
130795,120865,206633,97651.4,80644,160204,61.4145,2.70779
91313,91563.7,182954,83634.9,78191.3,148437,28.4293,2.71318
90550.4,88001.6,179803,80359.7,68723.7,153552,4.44532,2.71675
91226.8,94839.1,180452,143668,118777,170719,32.743,2.72676
87751.6,88222.9,184429,100463,89564.8,154191,28.9434,2.73594
152803,133316,217521,129552,97835.6,168117,50.4695,2.73958
112204,110691,196910,94441.4,81742.6,158673,25.2156,2.74238
99029.1,91273.3,187489,91380.5,71925.8,156463,13.182,2.74815
124627,115194,203723,134509,104983,167896,91.6515,2.75462
143149,145453,207419,133895,112162,167888,9.24565,2.75895
87291.3,90661.2,170395,60862.8,57618.6,143763,5.5181,2.75912
134806,127118,206823,129605,114853,165509,26.9366,2.76027
115414,122960,194279,104553,94566.5,154658,28.5695,2.76332
92169.8,102514,176786,64222.5,64429,141144,13.6818,2.7643
153185,151391,208460,138001,114158,167837,59.4081,2.76658
99257.4,103259,188467,75837.6,71244.7,147728,2.84044,2.77081
133894,122431,207803,150897,117895,175152,123.424,2.77376
119932,115546,199845,141774,100540,172969,-0.249924,2.78274
102816,99721,186427,127285,110056,162025,2382.36,2.7895
114878,105302,200111,100323,86096.1,160722,32.8372,2.79535
119278,119216,193283,123764,115416,159538,189.846,2.79921
104410,103270,187318,109433,90707.6,162222,27.4493,2.80267
126979,123809,196857,125699,104686,162551,80.5126,2.8155
100983,104087,186858,81337.2,75092.4,153041,9.06539,2.8197
132501,121665,212945,139602,117890,169849,39.513,2.82303
111656,117324,193730,81246.8,75852.2,148416,2.61795,2.83315
140507,131474,213230,142795,109867,170253,20.0846,2.83591
64362.8,68994.2,159000,55034.9,54532.6,138438,10.7804,2.83939
131418,131248,201172,117551,105390,157851,25.4943,2.84108
105238,106829,187106,71047.4,62961.6,151967,16.5536,2.84823
74001.9,82245.6,164239,65312.8,66239,141226,17.1481,2.8511
126046,118462,196340,98616.1,79804.1,162859,19.2112,2.85431
147381,139255,205214,146103,125423,167727,86.9309,2.86115
96730.8,108053,182672,93232.5,92691.8,149079,22.9447,2.87191
103918,108287,186942,71658.8,68999.6,148919,40.4184,2.87369
102305,105435,190249,118791,99320.2,162363,35.8578,2.88304
