"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","SELE","Time"
87282.5,86618.9,179312,76398.1,73500.6,148830,-9.58042,3.12883
99948.1,102956,183516,84890,73355.1,155442,15.549,3.13939
87986,84515.8,175850,158758,134597,172611,98.7003,3.15163
125225,118961,201169,145673,125658,164761,296.272,3.15829
94617.1,97145.4,189227,71975.8,63162.5,146027,23.7315,3.24133
105962,107031,182368,77434.7,71221.1,151255,24.5194,3.29218
148912,134631,214505,113109,90081.5,164483,101.076,3.30818
83631,83649,168160,105029,90009.7,158967,84.6336,3.30925
137901,107041,215696,121651,90023.7,172300,136.029,3.31181
108134,99123.9,197229,128970,108868,166206,35.0539,3.33542
117811,110343,196847,85757,72696,157667,22.7135,3.33832
129817,124273,201131,117874,100339,164522,69.343,3.34373
132935,116628,205827,133775,111902,167676,38.7516,3.34771
108359,104719,190263,96054.8,82195.6,157684,26.5175,3.36597
161206,135574,210596,150695,113374,175464,70.9094,3.37623
88643.2,84793.5,176809,101312,86366,160667,34.2039,3.39329
152032,129277,218277,108291,81944.9,164472,28.5228,3.39914
160677,142343,221360,155195,117908,176504,33.8266,3.40957
100613,110115,184568,84994.6,83297.7,146355,34.8177,3.41259
160109,132918,219319,171309,127952,179615,172.371,3.41503
90454.5,86818.2,176081,85895.4,77715.9,152643,7.62554,3.41529
66492.1,69666.4,162065,58092.1,57011.8,147641,7.08664,3.42185
85820.7,94384.6,175428,51888.3,51008.4,133888,21.3744,3.42229
113298,108643,190172,113459,97911.1,164832,14.8651,3.4317
80163.3,86977.3,170636,85367.3,83629.8,148534,22.5748,3.52315
82474.9,84403.5,165993,82977.5,85454.1,145724,19.4869,3.53696
98381.2,103558,179399,84409.3,75768.8,151452,22.0666,3.54804
112993,117077,189274,82384.1,74084.3,152065,37.2317,3.55121
126915,120238,199953,118555,89090,169243,247.328,3.55315
148495,132365,216795,153854,112489,177340,139.366,3.56213
62823.7,69024,149363,74798.1,73202.7,142092,-2.66586,3.56722
125684,105401,198744,122503,95099.3,172390,18.1099,3.57418
113822,113091,193901,84279.8,73383.4,152035,33.261,3.57463
112142,116721,192656,87003.2,77875.2,152823,7.62554,3.58357
104781,105889,186210,119256,112951,157601,20.637,3.59648
123775,113200,203586,126315,95587.1,172845,29.6919,3.60527
98468.4,108444,186105,79215.4,76497.1,145546,5.87619,3.67089
136803,124241,207519,98222,75774.8,161995,14.3642,3.74914
123986,122741,200276,87776,79659.6,152917,30.0197,3.75107
172316,137175,231240,133128,96995.8,172098,16.3251,3.75918
90177,93898.9,182135,86507.8,82337.4,148156,25.4943,3.76283
139412,118680,209457,116187,90701.1,168653,66.1647,3.76632
89826.2,97504.4,179819,79393,80673.1,148760,-5.91487,3.77165
85243.4,84928.6,176373,72512.1,66821.8,144690,2.97398,3.77199
110619,119497,187203,116631,103725,160303,8.97528,3.7722
96782.5,88568.9,177087,144350,131198,165088,44.054,3.78854
96525.9,97475.5,178903,89513.6,80409.7,152402,1.01891,3.78976
92468,88636.4,179256,109124,94588.3,160245,44.9183,3.80851
116084,115936,199895,76275.1,64593,153374,4.44532,3.85453
104855,101250,193420,144845,127522,179203,42.0899,3.86493
115757,106215,199705,91102.5,72782.2,157683,2.44002,3.87038
143230,128098,216891,107229,81752.9,163018,40.9432,3.88333
82572.9,95127.7,171950,79373.4,81849.4,144926,17.7891,3.9341
176903,136174,222878,162731,103287,179782,57.619,3.96304
153424,141969,217737,130680,114893,165689,34.3927,3.99541
132565,113393,205320,94184.7,75983.4,158333,-3.12405,3.99689
115939,122496,196620,88889.1,81459.7,151025,49.5004,3.99767
126130,125340,202824,101164,88940.8,156960,70.3438,3.99929
95066.8,91243,177326,95582.1,85923,157177,11.4137,3.99944
103660,107620,186136,87139.9,78718.7,152031,4.17749,4.00082
178962,152922,218598,151516,115818,173466,113.622,4.01663
114111,114610,192461,106705,96961.8,156299,19.8546,4.04357
155850,136530,215263,164374,131801,173336,938.631,4.0437
165090,152144,225129,121025,96567.5,170272,57.1825,4.0541
102188,108298,178496,86542,78407.1,154171,14.8651,4.07214
