"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","SELE","Time"
104105,105358,192821,117192,104452,160451,74.3014,19.4032
145898,143439,210379,115162,101525,159334,51.6829,19.4592
127959,120939,197504,112793,97225.7,159790,67.863,19.4924
78802.7,83204.7,161991,93632.3,92138.3,145795,4.44532,19.5198
133619,138616,200370,112043,99487.6,155494,5.42861,19.5293
151816,141606,213277,134925,92780.8,175646,66.5567,19.7052
119449,119343,200522,100558,91335.3,154808,24.5194,19.8218
111870,103690,192578,96796.2,83313.9,158498,11.9119,19.8563
135903,126902,199626,140951,111546,171508,50.1488,19.9306
113480,122206,192638,78355.6,72356.2,150786,18.5226,19.9339
106482,98071.1,192837,81297,63413.8,161536,86.7142,19.9787
105675,93608,187004,175655,133550,176521,1093.92,19.9868
101580,88276.2,188911,129177,108112,172062,13.2728,20.0348
187070,156495,227193,167027,126919,176093,916.68,20.0718
122556,125973,196194,119533,112284,158125,102.889,20.073
143384,139869,204843,102525,87183.1,162366,30.4414,20.0824
144015,136942,209387,121071,98680.8,166279,82.7688,20.0871
153023,138497,209619,137855,99016,177225,54.3879,20.1168
156835,143527,213108,119576,96048.9,168068,113.536,20.2899
113221,112839,188968,111803,102880,160434,176.101,20.3239
128159,121128,205583,143095,124311,166383,88.1441,20.453
100533,103009,183573,92875,69967.6,163051,62.7224,20.4896
127127,118263,206816,146767,121608,172772,79.2103,20.5295
111511,112866,189360,107172,93437.4,160003,62.4609,20.5978
130756,113296,199654,159203,130693,172818,538.794,20.6202
137970,133391,201088,110250,88509.9,164844,79.1235,20.7304
89223.5,93406.1,175622,65995.3,68332.6,138000,33.4023,20.7389
107643,105258,193930,120294,115599,159084,160.521,20.8778
142133,130784,213377,117278,92867,168672,65.7291,20.8796
117299,116683,193723,109557,95227.9,161164,72.2579,20.9671
88529.6,86936.1,186910,67456.3,63661,147741,57.8809,20.9788
161843,144052,220955,130368,101068,172236,28.1491,21.0141
153098,138376,216703,115767,90438.9,170046,61.1528,21.0477
101859,104062,189782,76980.1,66434.1,153683,50.518,21.0658
157296,144516,212616,157823,123291,175431,87.5375,21.0876
145324,140285,211018,125170,101049,165573,51.81,21.1086
99619.6,106020,186490,84114.6,80573,148126,17.7891,21.2162
93621.4,91901.4,177364,70023.1,59301.9,151307,18.9816,21.2412
150571,120465,218289,158695,118636,178999,101.335,21.2806
112301,114357,192659,116047,107333,157717,59.9752,21.3446
144445,131170,217298,138362,107521,172535,253.145,21.4825
93608.8,98242.5,172426,66865.4,60664.1,144978,29.5515,21.5856
161306,145012,217099,119908,92135.3,169066,46.8916,21.5897
154230,141807,218597,130505,95016.7,175755,82.1181,21.6066
111342,110290,196270,79606.1,66112.1,156586,30.8166,21.6175
118737,115700,199671,104272,90151.7,159527,49.9301,21.6206
156002,133905,217434,164344,124282,179671,1136.4,21.6219
166666,148160,229283,163286,120019,177063,168.298,21.6516
116132,119843,190611,120671,100141,167995,25.4943,21.7264
112264,114933,189078,87771.5,82404.1,151165,27.2162,21.769
136883,129250,213059,133619,90458.9,176965,42.0421,22.0459
110964,108707,189670,101438,88133.7,159443,28.1958,22.0741
176215,142992,223668,162823,116192,179856,100.86,22.1517
94948.3,96554.5,186499,78590.5,75587.6,148458,8.79511,22.175
136214,118283,219726,124625,98781.4,169439,81.5107,22.2819
141570,123507,207509,160562,128255,173550,138.339,22.2824
169743,145573,223486,126941,94049.7,172409,97.1878,22.3288
161953,141840,222873,156922,124365,175405,78.7327,22.4101
161836,137273,224155,163989,125220,179332,72.4753,22.838
116694,112358,198601,101789,83453.7,161468,70.8224,22.8604
132454,128766,207413,122028,101827,166346,100.73,22.9048
109610,108250,193212,102424,88870.7,155960,7.62554,22.9995
144039,125714,207228,130350,110771,175170,64.03,23.2924
133683,119784,206049,142122,103680,175713,241.836,23.348
135761,122694,199184,130968,99250.4,172078,28.2892,23.3607
109428,100240,195393,124942,108138,165434,74.9533,23.4454
104358,98795,187127,84061.3,64436.3,156721,50.7609,23.4629
80044.7,85375.4,164779,73948.9,67341.8,152812,29.9729,23.6394
133936,124374,207238,106991,86983.6,168253,50.1488,23.6633
110693,113535,194309,83244,71356.8,155958,65.2064,23.7334
