"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","Time"
76687,81799.6,155453,76413.6,79802.9,144132,67150.2,5.84603
83173.7,90659.1,172196,68296.2,77722.7,140732,47520.2,5.86438
112876,118087,192657,86217.9,89909.4,144355,85185.3,5.89812
68964.9,66088.6,156061,105583,102772,154432,20293.4,5.89842
107057,102976,189558,97909.7,92957.5,160675,145450,5.93643
122940,116035,194227,112787,104829,159625,92526.7,5.93961
75938,82514.4,169024,49817.2,56086.4,133844,41181.4,5.97011
101303,102631,189373,78258.7,81280.9,144861,93083,5.98909
91975.8,95447.4,172130,100617,106046,151868,52859.6,6.03075
72540.4,72984.8,155482,112277,112362,156095,52310.9,6.03952
92593.2,100597,179088,52516.4,56904.6,134795,50773.6,6.04035
70350.6,72970.8,160178,70282.7,75729.4,144393,51906.8,6.06133
117647,114483,183625,91987.7,88571,153883,127488,6.06503
122707,117632,193037,113322,108660,155604,183668,6.06873
89904,94519.2,170802,73515.9,83511.9,137382,94985.4,6.08562
71629.7,75163.5,159290,87833.7,99912.5,144818,27744.4,6.09074
89066.8,95662.8,170662,55344.9,59300.5,138813,47909.6,6.13508
139912,132413,202694,90650.3,83121.3,155652,126167,6.17457
108731,94186.3,186216,80899.2,81252.5,154530,68217.6,6.30794
90102.6,89028.1,171540,79800.3,82151.5,148454,136433,6.3303
75330,80314,161636,60924.4,66067.3,140958,56104.5,6.33529
76316.5,84410,160145,65297.2,73427.8,140481,24954.2,6.34749
120228,115323,197472,82771.3,75640.3,153901,76841.1,6.35193
86065.7,91520.4,169810,68747.7,77961.6,140529,59623.5,6.35238
86446.9,93658.3,170304,64043.5,67243,142466,31101.3,6.36131
107173,105787,189809,114105,119200,153765,111064,6.36492
87690,89198.4,175212,70190.9,80385.7,138359,31508.6,6.38276
116894,108578,193713,92510.8,88471.7,162006,146553,6.38921
81642.6,82055,162341,68982.8,75471.6,143736,50061.6,6.41635
94170.2,95390.3,179224,67258.7,69097.1,145983,69404,6.42431
66626.2,67041,156333,77247.8,80139.3,146831,48722.5,6.43667
98872.7,91606.8,176293,114651,110617,161397,86011.2,6.46249
104266,97219.3,183586,102067,107256,151011,72698.1,6.46478
91883.8,87543.7,172375,99721.3,95605.2,157647,64537.4,6.47149
85245.5,87966.3,159687,104813,115566,150947,47276.5,6.48674
74554.1,77707.4,166140,91515.7,104696,143842,62044.5,6.49525
108670,111146,186320,67958.7,74092.3,140399,100355,6.53238
62585.9,65960.5,156336,103881,116659,148291,39863.7,6.53841
121721,117543,193527,105142,105306,152443,120789,6.54168
73131.2,80218.7,155373,55296.2,60306.9,135701,50687.4,6.54427
110803,108773,184188,98440.1,93741.4,156285,74310.2,6.60043
99097.2,95157.5,176808,96219.7,96277.4,148535,75169.4,6.60579
102321,108289,179568,84099.5,96918.1,142139,64668.4,6.60763
86852.7,86622.2,168817,103748,106487,152552,42881.2,6.61836
69364.5,75811,153515,61299.2,69717.2,138737,31897.2,6.64
87359.8,90577.8,174744,85931,88222.4,150651,62796.2,6.66156
108634,108493,184123,104834,101739,152727,116073,6.67948
120494,120223,195442,85757.2,86713.4,148422,71867.7,6.71866
82293.1,84185,162904,109989,115110,151952,150490,6.73577
105599,109879,184197,72846.2,77226.4,144207,51913.3,6.78319
89372.4,95849.3,168589,71659.5,73914.4,145013,51896.3,6.80069
109945,110020,187618,96302.8,91910.4,155073,48272.7,6.80109
72311.7,77015.3,162791,74696.8,83783.5,141876,36481.3,6.80537
128301,125873,193703,104062,97096.1,159423,102625,6.80857
74781.6,82617.8,155654,70515,77422,141245,44652.1,6.81419
118049,115091,194479,85728,83799.4,151149,120297,6.81947
72984.4,81759.7,158651,62031.3,65852.5,140871,55215.3,6.83593
113440,114499,189495,83742.7,85743.4,148919,121190,6.91948
64337.9,71208.1,152618,33770.3,39406.5,121872,32294.1,6.958
131243,117808,196482,115982,99644.3,165666,214321,7.04594
90378.4,93330.6,175533,58520.3,60583.1,141506,81786.6,7.05051
115701,114236,192034,95408.7,99757.3,148184,65231.7,7.07571
80992.7,88748.1,162483,44904.7,51030.8,128920,42632.7,7.13313
64621.8,72535.9,151943,49463.4,56248.4,133663,27654.5,7.18497
59267.2,63281.4,152433,41916,48118.9,131198,22787.9,7.18839
90585.6,93530.8,169604,64516.8,69036.2,142119,55998.1,7.20134
80305.6,82409.6,161466,60309.8,65386.7,140666,57630,7.20813
106900,108535,183598,74308,80777.5,141720,29449.2,7.21678
97053.1,104946,170075,56012.9,59171,140401,41636.8,7.23524
77384.5,83438.2,166231,51701.9,56145.7,134974,35724.9,7.23749
91964.2,89978.8,180133,99878.6,108973,150656,61062,7.26923
151931,146122,204187,105328,98349.6,157951,115521,7.29861
72273.1,79515.2,155111,66724.4,77096.4,137841,41403.1,7.30678
83482,91623.3,172841,52587.9,59624.6,133214,37642.5,7.34344
71761.9,79361.3,153761,50727.3,59640.8,133240,38316.8,7.34354
82051.9,87956.8,162040,67223.4,73135.5,141493,34440.5,7.35455
78056.7,83317.1,156115,93650.2,104119,148242,48337.1,7.3771
84905.9,88076.6,166170,89466.5,100021,144911,79126.7,7.4968
90767.1,92820.3,179923,71147.8,76752.9,140825,53051.8,7.507
120530,119261,193249,90727.3,90724.5,152393,92422,7.52765
78044.6,83101.1,160338,54925.2,59061.8,136384,54404.6,7.53287
74578.1,71923.4,166567,67220.1,70793.6,142576,55219.5,7.56599
128500,124025,197696,93264.2,89411.7,151905,117272,7.56621
88867,95170.6,168935,69708.3,76176.7,140797,49510.2,7.57155
128416,127668,194533,117165,119189,156537,106191,7.64411
100183,105409,177261,74388.5,79689.4,141363,44885.2,7.67077
89348.3,96078,177323,67713.5,71386.3,141566,32373.4,7.78809
106321,107108,176978,115944,116790,155295,125302,7.79526
81890.8,89525.7,173399,52135.4,60526.4,131610,36491,7.79872
97158,93479,178945,89880.2,90534.4,154698,55544.8,7.80531
119897,115789,193097,88535.3,85135.8,152322,89509.6,7.84957
98426.9,102283,182678,63863.7,64960.2,144648,64088.8,7.85799
90942.6,95041,169782,84238.5,90174.3,145836,40383.8,7.87391
80637.3,86412.5,175037,60309.5,68840.5,134106,56095.3,7.89102
80840.9,82286.9,164457,107474,117121,151438,56958.4,7.90569
123272,123544,193822,81869.6,80976,146212,83938.8,7.91423
99148.6,92481,171048,114200,108611,158935,185753,7.92434
102555,105820,185011,65743.3,71214.3,138927,34800,7.94019
117906,122420,192303,84458.1,86454.3,147342,48386.5,7.95343
79565.1,85371.5,163043,62706.6,69617,137449,52471.1,8.00929
94749.9,91753.4,181748,65397.8,66012.9,139009,71512.5,8.04031
126063,126895,193060,87516.4,87242.2,151870,104204,8.04078
98426.9,96754.9,178986,63186.9,66374.5,145954,89515.2,8.05369
72492.2,80591.8,156309,66959.8,75771.2,138944,37474.4,8.05387
85122,91213.1,169143,44386,51617.8,131391,37054.4,8.1045
86959.9,89196.4,173167,72681.3,73945.9,141924,76100,8.1319
110547,109473,193528,75480.5,76150,147756,63165.1,8.13538
69927.6,75805.4,162946,38381.5,43335.5,119251,42349.5,8.14799
93787,97542.6,181976,56585,60762.2,136204,41436.9,8.17508
64560.7,72330.2,151368,48895.7,57231.3,134011,33807.5,8.17709
63046.9,69588.7,152993,48961.4,54054.3,133941,30918,8.20291
114714,107166,185587,111019,109884,156116,162823,8.21961
99898.6,104815,185837,75077.7,75759.6,145629,81157.2,8.22878
72825.4,80007.8,160583,63482.6,72207.4,139038,38162.1,8.2396
81903.6,87009.8,169074,58805.5,64422.1,136126,57701.4,8.24108
87123.8,89083.2,168146,98346.1,105165,151606,88452.4,8.25922
60016.6,68557.2,148674,53037.7,65200.3,134639,31501,8.26258
91406.8,92123.9,181446,63076.8,62029.6,146183,55187.2,8.29574
84891.9,91545.7,168231,61639,68924.4,138616,29899.3,8.40018
112529,111837,189939,89904.6,92133.8,150781,118823,8.40828
90611.8,97112.8,179747,60598.1,62441,143198,37073,8.51956
81262.4,82817.2,174277,85890.4,90077.4,148934,38786.1,8.55287
101736,104681,189678,68678.8,72650.9,146618,95145.4,8.58631
112843,110041,188921,110924,106984,158683,186504,8.60134
68707.2,75590.1,152701,37283.8,44497.9,126843,35541.5,8.60579
104923,101462,192319,63963.4,66928.6,139416,70468.5,8.64802
101412,103338,186311,76939.9,74720.5,145156,95720.9,8.65013
61291.4,69226.7,151485,35063.6,42961.4,124084,16994.5,8.66516
66652.4,75545.9,152889,52811.5,59088.6,135634,50469.9,8.68678
97760,95923.7,175548,72521.3,72123.2,146163,55204.1,8.71086
86626.9,94263.2,169666,63226.7,71184,139190,50998,8.73242
105361,107363,182201,66045.1,67231,144305,54674.2,8.73633
70146.2,78382.9,152942,42995.4,51602.9,126745,45156.4,8.74303
76026.3,84332.7,160299,45866.4,51517.4,130613,33311.7,8.74725
92373.9,99170.5,176757,67993.6,72814.5,140504,68585.9,8.75402
88883.1,94761.6,169605,77499.2,86022.1,141477,75303.3,8.81782
100003,103368,172848,72397.8,76746.3,143939,36280.6,8.85445
85039.1,90958.1,165460,50296.1,53928.8,134225,48773.8,8.89345
131149,128813,195460,111691,105473,156042,117036,8.93664
133232,131427,196532,109238,105105,157669,113743,8.94685
90406.7,95713.1,176303,64568.9,69367.5,142382,42850.4,8.97046
110067,114930,184715,65247.7,63715.3,145095,66260.3,8.9983
84355.3,90426.3,162055,110978,120614,151482,39685.9,9.00794
86666.8,93969.9,172117,69311.5,75838.3,141355,32476.4,9.03242
88337.1,91911,174726,70340.5,77668.7,142979,54456.8,9.03642
124614,127062,186991,107099,111365,151749,91904.4,9.07004
89489.4,94760.8,168046,74811.3,76311.3,144747,41159.4,9.07866
70014.8,70520.6,160046,59107.9,66538.5,134215,36718.5,9.09889
71260.8,75362.8,158446,83872.5,89977.1,145150,19748.9,9.11834
63403.3,66487,152353,98844.4,100311,151212,47155.1,9.11917
