UMAP1	UMAP2	Cas_variant	filename_prefix	FACS_group
-5.80631582886867	2.27976675765683	KRAB	HI.5143.003.NGS-Lib-Rev--1.Krab_CA_Top_143	Top
-6.16728277118539	1.56890904651588	KRAB	HI.5143.003.NGS-Lib-Rev--2.Krab_CA_Bottom_144	Bottom
-6.96801316679324	1.71018237395754	KRAB	HI.5143.003.NGS-Lib-Rev--3.Krab_ICAM_Top_145	Top
-6.18062547896919	1.66183456209979	KRAB	HI.5143.003.NGS-Lib-Rev--4.Krab_ICAM_Bottom_146	Bottom
1.83381796450182	4.84052791410918	CAS9	HI.5143.003.NGS-Lib-Rev--5.Cas_ROS_Top_147	Top
3.96129718938624	3.86851025669687	CAS9	HI.5143.003.NGS-Lib-Rev--6.Cas_ROS_Bottom_148	Bottom
-5.14202949564144	2.7260988304625	KRAB	HI.5143.004.NGS-Lib-Rev--1.Krab_VCAM_Top_151	Top
-7.12311253851691	1.06060540738565	KRAB	HI.5143.004.NGS-Lib-Rev--2.Krab_VCAM_Bottom_152	Bottom
-6.41534373057568	2.38015284267831	KRAB	HI.5143.004.NGS-Lib-Rev--3.Krab_NO_Top_153	Top
-6.50715000050638	1.24936021982108	KRAB	HI.5143.004.NGS-Lib-Rev--4.Krab_NO_Bottom_154	Bottom
-4.70284946139519	2.74244394645656	KRAB	HI.5143.004.NGS-Lib-Rev--7.Krab_NO_Top_149	Top
-6.24533412520898	1.32453277147697	KRAB	HI.5143.004.NGS-Lib-Rev--8.Krab_NO_Bottom_150	Bottom
-5.16265841669482	2.36569959939234	KRAB	HI.5143.005.NGS-Lib-Rev--1.Krab_VCAM_Top_159	Top
-7.14954558530285	1.187859300387	KRAB	HI.5143.005.NGS-Lib-Rev--2.Krab_VCAM_Bottom_160	Bottom
-6.220761797358	2.5915028740095	KRAB	HI.5143.005.NGS-Lib-Rev--5.Krab_CA_Top_155	Top
-7.08389551833074	1.09536391213593	KRAB	HI.5143.005.NGS-Lib-Rev--6.Krab_CA_Bottom_156	Bottom
-4.4555299272046	3.09758515690502	KRAB	HI.5143.005.NGS-Lib-Rev--7.Krab_NO_Top_157	Top
-7.68136791975354	1.42585160774284	KRAB	HI.5143.005.NGS-Lib-Rev--8.Krab_NO_Bottom_158	Bottom
-5.25948996161676	2.59452873047079	KRAB	HI.5143.006.NGS-Lib-Rev--3.Krab_NO_Top_161	Top
-7.44248334916393	0.84389361531634	KRAB	HI.5143.006.NGS-Lib-Rev--4.Krab_NO_Bottom_162	Bottom
-5.61263051972459	2.29880453501943	KRAB	HI.5143.006.NGS-Lib-Rev--5.Krab_VCAM_Top_163	Top
-7.68461057996604	1.09844873116535	KRAB	HI.5143.006.NGS-Lib-Rev--6.Krab_VCAM_Bottom_164	Bottom
-5.06660978387902	2.43474050778817	KRAB	HI.5143.006.NGS-Lib-Rev--7.Krab_CA_Top_165	Top
-7.52780631785944	1.36334437303717	KRAB	HI.5143.006.NGS-Lib-Rev--8.Krab_CA_Bottom_166	Bottom
-7.81903550270168	1.38127936534428	KRAB	HI.5143.007.NGS-Lib-Rev--1.Krab_ROS_Top_167	Top
-7.28840263282849	1.42315334803387	KRAB	HI.5143.007.NGS-Lib-Rev--2.Krab_ROS_Bottom_168	Bottom
-4.614481740503	2.90138364037972	KRAB	HI.5143.008.NGS-Lib-Rev--3.Krab_ROS_Top_169	Top
-7.7333247280755	1.27526657305308	KRAB	HI.5143.008.NGS-Lib-Rev--4.Krab_ROS_Bottom_170	Bottom
-4.62871369264716	3.28472750633581	KRAB	HI.5143.008.NGS-Lib-Rev--5.Krab_ROS_Top_171	Top
-7.38377030779786	0.919826305453453	KRAB	HI.5143.008.NGS-Lib-Rev--6.Krab_ROS_Bottom_172	Bottom
-4.68657177042992	2.89674223604077	KRAB	HI.5143.008.NGS-Lib-Rev--7.Krab_ROS_Top_173	Top
-7.85513339342835	1.34850897348132	KRAB	HI.5143.008.NGS-Lib-Rev--8.Krab_ROS_Bottom_174	Bottom
